resolved_at,target_date,city,station_icao,bucket,side,entry_price,size_usd,ev_per_bet,spread_colour,det_spread,model_values_json,actual_temp,outcome,pnl_usd,miss_distance,signal_timestamp,strategy,forecast_prob,edge,roi_pct,days_ahead,kelly_fraction_used
2026-04-17T01:27:13.314981+00:00,2026-04-16,London,EGLC,16,BUY_YES,0.43499999999999994,20.68,7.183,RED,1.6,"{""meteofrance_arome_france"":16.3,""meteofrance_seamless"":16.6,""meteofrance_arome_france_hd"":16.6,""icon_seamless"":16.4,""dmi_seamless"":17.1,""ecmwf_ifs025"":16.6,""ukmo_uk_deterministic_2km"":16.5,""ukmo_seamless"":16.5,""ukmo_global_deterministic_10km"":15.5,""ncep_aigfs025"":15.5}",18,LOSS,-20.68,1.64,2026-04-15T23:07:55.022128+00:00,PRIME_ALPHA,0.568578717583789,0.13357871758378898,-100.0,1,0.5
2026-04-17T01:27:13.316896+00:00,2026-04-16,Chicago,KORD,66-67,BUY_YES,0.08,5.6000000000000005,8.97,RED,4.7,"{""ncep_nbm_conus"":67.9,""ncep_aigfs025"":71.1,""gem_seamless"":71.5,""best_match"":67.0,""icon_seamless"":71.7,""ecmwf_ifs025"":70.6,""gfs_seamless"":67.0}",74,LOSS,-5.6,4.46,2026-04-16T03:01:33.854848+00:00,PRIME_ALPHA,0.19318862331834186,0.11318862331834185,-100.0,0,0.25
2026-04-17T01:27:13.318877+00:00,2026-04-16,Dallas,KDFW,82-83,BUY_YES,0.18,7.179999999999999,3.732,RED,4.3,"{""icon_seamless"":84.3,""gem_seamless"":82.8,""gem_regional"":82.8,""gfs_seamless"":84.4,""gfs_hrrr"":84.4,""ncep_aigfs025"":83.5,""ecmwf_ifs025"":81.8,""ncep_nbm_conus"":86.1}",86,LOSS,-7.18,2.24,2026-04-16T03:01:33.940862+00:00,PRIME_ALPHA,0.283360074006439,0.10336007400643898,-100.0,0,0.25
2026-04-17T01:27:13.320809+00:00,2026-04-16,Seattle,KSEA,54-55,BUY_YES,0.23,5.16,4.723,RED,5.4,"{""ncep_nbm_conus"":54.0,""gem_seamless"":56.0,""gem_hrdps_continental"":56.0,""knmi_seamless"":56.0,""dmi_seamless"":56.0,""icon_seamless"":53.3,""ecmwf_ifs025"":55.1,""gfs_seamless"":50.6}",56,LOSS,-5.16,1.38,2026-04-16T05:01:18.825152+00:00,PRIME_ALPHA,0.4160170761327879,0.18601707613278787,-100.0,0,0.25
2026-04-17T01:27:13.322730+00:00,2026-04-16,Seattle,KSEA,52-53,BUY_YES,0.09,5.0,8.203,RED,5.0,"{""ncep_nbm_conus"":54.0,""gem_seamless"":55.9,""gem_hrdps_continental"":55.9,""knmi_seamless"":55.0,""dmi_seamless"":55.0,""icon_seamless"":52.0,""ecmwf_ifs025"":55.0,""gfs_seamless"":50.9}",56,LOSS,-5.0,1.79,2026-04-16T06:46:44.807768+00:00,PRIME_ALPHA,0.237658963846841,0.147658963846841,-100.0,0,0.25
2026-04-18T00:11:26.977007+00:00,2026-04-17,London,EGLC,16,BUY_YES,0.057999999999999996,5.0,7.385,RED,2.3,"{""meteofrance_seamless"":18.4,""icon_seamless"":17.3,""dmi_seamless"":18.4,""ecmwf_ifs025"":18.0,""ukmo_seamless"":17.6,""ukmo_global_deterministic_10km"":17.6,""ncep_aigfs025"":16.1}",18,LOSS,-5.0,0.37,2026-04-15T22:30:29.675346+00:00,PRIME_ALPHA,0.1402082991097225,0.0822082991097225,-100.0,2,0.5
2026-04-18T00:11:26.978530+00:00,2026-04-17,Buenos Aires,SAEZ,22,BUY_YES,0.05050000000000001,6.99,26.078,RED,2.2,"{""ukmo_seamless"":23.1,""ecmwf_ifs025"":22.4,""best_match"":23.5,""icon_seamless"":23.5,""ncep_aigfs025"":24.6,""meteofrance_seamless"":24.1,""gfs_seamless"":23.0}",25,LOSS,-6.99,1.54,2026-04-15T23:32:12.066360+00:00,PRIME_ALPHA,0.24824129115477778,0.1977412911547778,-100.0,2,0.3
2026-04-18T00:11:26.979765+00:00,2026-04-17,Chicago,KORD,78-79,BUY_YES,0.185,5.0,1.271,RED,6.1,"{""ncep_nbm_conus"":80.4,""ncep_aigfs025"":80.4,""gem_seamless"":79.2,""best_match"":84.2,""icon_seamless"":79.7,""ecmwf_ifs025"":78.1,""gfs_seamless"":84.2}",81,LOSS,-5.0,0.11,2026-04-17T03:06:28.771422+00:00,PRIME_ALPHA,0.23204418636626972,0.047044186366269725,-100.0,0,0.25
2026-04-18T00:11:26.981076+00:00,2026-04-17,Dallas,KDFW,80-81,BUY_YES,0.12,5.98,6.899,RED,5.2,"{""icon_seamless"":83.4,""gem_seamless"":84.8,""gem_regional"":84.8,""gfs_seamless"":80.1,""gfs_hrrr"":80.1,""ncep_aigfs025"":79.6,""ecmwf_ifs025"":80.0,""ncep_nbm_conus"":83.0}",82,LOSS,-5.98,0.03,2026-04-17T03:06:28.995569+00:00,PRIME_ALPHA,0.24246254408527917,0.12246254408527918,-100.0,0,0.25
2026-04-19T12:28:08.309954+00:00,2026-04-18,Chicago,KORD,62-63,BUY_YES,0.175,25.0,26.989,RED,4.2,"{""ncep_nbm_conus"":64.8,""ncep_aigfs025"":63.0,""gem_seamless"":62.0,""best_match"":62.2,""icon_seamless"":66.2,""ecmwf_ifs025"":63.3,""gfs_seamless"":62.2}",63,WIN,117.8571,-0.39,2026-04-18T03:03:22.314022+00:00,PRIME_ALPHA,0.3830612958948349,0.2080612958948349,471.43,0,0.25
2026-04-21T00:26:42.138961+00:00,2026-04-20,Ankara,LTAC,12,BUY_YES,0.115,15.19,38.955,GREEN,1.1,"{""icon_seamless"":12.8,""icon_global"":13.0,""ecmwf_ifs025"":12.5,""gfs_graphcast025"":13.6,""jma_seamless"":12.8,""meteofrance_arpege_world"":13.2}",14,LOSS,-15.19,1.02,2026-04-19T22:00:22.434040+00:00,PRIME_ALPHA,0.5132020322673014,0.39820203226730144,-100.0,1,0.35
2026-04-21T00:26:42.141524+00:00,2026-04-20,Ankara,LTAC,13,BUY_YES,0.43,13.56,0.42,GREEN,1.1,"{""icon_seamless"":12.8,""icon_global"":13.0,""ecmwf_ifs025"":12.5,""gfs_graphcast025"":13.6,""jma_seamless"":12.8,""meteofrance_arpege_world"":13.2}",14,LOSS,-13.56,1.02,2026-04-19T22:00:22.665043+00:00,PRIME_ALPHA,0.4460653222916461,0.01606532229164609,-100.0,1,0.35
