resolved_at,target_date,city,station_icao,bucket,side,entry_price,size_usd,ev_per_bet,spread_colour,det_spread,model_values_json,actual_temp,outcome,pnl_usd,miss_distance,signal_timestamp,strategy
2026-03-05T10:00:03.129506+00:00,2026-03-04,Seoul,RKSI,10+,BUY_YES,0.09499999999999999,22.0,0.0,,,{},9,LOSS,-22.0,,2026-03-03T12:07:25.286308+00:00,SINGLE
2026-03-05T10:00:03.353928+00:00,2026-03-04,Seattle,KSEA,54-55,BUY_YES,0.21999999999999997,19.52,0.0,,,{},52,LOSS,-19.52,,2026-03-03T12:30:28.751520+00:00,SINGLE
2026-03-05T10:00:03.541350+00:00,2026-03-04,Miami,KMIA,80-81,BUY_YES,0.305,6.0,0.0,,,{},81,WIN,13.6721,,2026-03-03T12:44:11.692626+00:00,SINGLE
2026-03-05T10:00:03.541610+00:00,2026-03-04,Seattle,KSEA,48-49,BUY_YES,0.0795,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-03T12:44:11.697889+00:00,SINGLE
2026-03-05T10:00:03.541756+00:00,2026-03-04,Miami,KMIA,82-83,BUY_YES,0.28500000000000003,5.030000000000001,0.0,,,{},81,LOSS,-5.03,,2026-03-03T13:00:14.217638+00:00,SINGLE
2026-03-05T10:00:03.541877+00:00,2026-03-04,Miami,KMIA,84-85,BUY_YES,0.11499999999999999,5.0,0.0,,,{},81,LOSS,-5.0,,2026-03-03T13:00:14.219394+00:00,SINGLE
2026-03-05T10:00:03.542008+00:00,2026-03-04,Seattle,KSEA,56-57,BUY_YES,0.095,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-03T13:31:01.504318+00:00,SINGLE
2026-03-05T10:00:03.542118+00:00,2026-03-04,Miami,KMIA,78-79,BUY_YES,0.15500000000000003,15.040000000000001,0.0,,,{},81,LOSS,-15.04,,2026-03-03T18:30:18.410733+00:00,SINGLE
2026-03-05T10:00:03.710372+00:00,2026-03-04,Chicago,KORD,50+,BUY_YES,0.20500000000000002,5.0,0.0,,,{},46,LOSS,-5.0,,2026-03-03T18:30:18.413654+00:00,SINGLE
2026-03-05T10:00:03.711322+00:00,2026-03-04,Seattle,KSEA,52-53,BUY_YES,0.4050000000000001,5.0,0.0,,,{},52,WIN,7.3457,,2026-03-03T18:30:18.415323+00:00,SINGLE
